Chr,Meth.x,Locus,gene_id,feature,Description
NW_026262581.1,0,1906892,LOC127734437,intron,uncharacterized LOC127734437
NW_026262581.1,0,1906896,LOC127734437,intron,uncharacterized LOC127734437
NW_026262581.1,0,1906932,LOC127734437,intron,uncharacterized LOC127734437
NW_026262581.1,0,1956268,NA,interg,NA
NW_026262581.1,0,1956292,NA,interg,NA
NW_026262581.1,0,1956310,NA,interg,NA
NW_026262581.1,0,1956344,NA,interg,NA
NW_026262581.1,0,1960083,NA,interg,NA
NW_026262581.1,0,1960089,NA,interg,NA
NW_026262581.1,0,1960093,NA,interg,NA
NW_026262581.1,0,1960154,NA,interg,NA
NW_026262581.1,0,2305031,LOC127733048,exon,protein Wnt-16-like
NW_026262581.1,0,2305103,LOC127733048,exon,protein Wnt-16-like
NW_026262581.1,0,2305143,LOC127733048,exon,protein Wnt-16-like
NW_026262581.1,0,2305162,LOC127733048,exon,protein Wnt-16-like
NW_026262581.1,0,2328814,NA,interg,NA
NW_026262581.1,0,2328843,NA,interg,NA
NW_026262581.1,0,2328847,NA,interg,NA
NW_026262581.1,0,2328859,NA,interg,NA
NW_026262581.1,0,2328874,NA,interg,NA
NW_026262581.1,0,2328882,NA,interg,NA
NW_026262581.1,0,2328886,NA,interg,NA
NW_026262581.1,0,3361689,NA,interg,NA
NW_026262581.1,0,3361741,NA,interg,NA
NW_026262581.1,0,3361765,NA,interg,NA
NW_026262581.1,0,3361769,NA,interg,NA
NW_026262581.1,0,3361772,NA,interg,NA
NW_026262581.1,0,3361778,NA,interg,NA
NW_026262581.1,0,3369513,NA,interg,NA
NW_026262581.1,0,3369538,NA,interg,NA
NW_026262581.1,0,3369577,NA,interg,NA
NW_026262581.1,0,3374767,NA,interg,NA
NW_026262581.1,0,3374804,NA,interg,NA
NW_026262581.1,0,3374807,NA,interg,NA
NW_026262581.1,0,3374832,NA,interg,NA
NW_026262581.1,0,3705002,LOC127736075,intron,protein diaphanous homolog 1-like
NW_026262581.1,0,3705008,LOC127736075,intron,protein diaphanous homolog 1-like
NW_026262581.1,0,3705019,LOC127736075,intron,protein diaphanous homolog 1-like
NW_026262581.1,0,3705096,LOC127736075,intron,protein diaphanous homolog 1-like
NW_026262581.1,0,3877669,LOC127734869,exon,host cell factor 1-like
NW_026262581.1,0,3877729,LOC127734869,exon,host cell factor 1-like
NW_026262581.1,0,4070602,NA,interg,NA
NW_026262581.1,0,4070639,NA,interg,NA
NW_026262581.1,0,4070667,NA,interg,NA
NW_026262581.1,0,4149728,NA,interg,NA
NW_026262581.1,0,4149753,NA,interg,NA
NW_026262581.1,0,4149756,NA,interg,NA
NW_026262581.1,0,4149765,NA,interg,NA
NW_026262581.1,0,4149813,NA,interg,NA
NW_026262581.1,0,4355383,NA,interg,NA
NW_026262581.1,0,4355386,NA,interg,NA
NW_026262581.1,0,4355389,NA,interg,NA
NW_026262581.1,0,4355422,NA,interg,NA
NW_026262581.1,0,4355425,NA,interg,NA
NW_026262581.1,0,4355479,NA,interg,NA
NW_026262581.1,0,4355482,NA,interg,NA
NW_026262581.1,0,4355500,NA,interg,NA
NW_026262581.1,0,4382154,NA,interg,NA
NW_026262581.1,0,4382166,NA,interg,NA
NW_026262581.1,0,4382198,NA,interg,NA
NW_026262581.1,0,4382206,NA,interg,NA
NW_026262581.1,0,4529244,NA,interg,NA
NW_026262581.1,0,4529312,NA,interg,NA
NW_026262581.1,0,4529338,NA,interg,NA
NW_026262581.1,0,4529400,NA,interg,NA
NW_026262581.1,0,4529445,NA,interg,NA
NW_026262581.1,0,4529454,NA,interg,NA
NW_026262581.1,0,4529484,NA,interg,NA
NW_026262581.1,0,4529523,NA,interg,NA
NW_026262581.1,0,4529532,NA,interg,NA
NW_026262581.1,0,4529562,NA,interg,NA
NW_026262581.1,0,4529571,NA,interg,NA
NW_026262581.1,0,4529661,NA,interg,NA
NW_026262581.1,0,4529670,NA,interg,NA
NW_026262581.1,0,4529682,NA,interg,NA
NW_026262581.1,0,4529731,NA,interg,NA
NW_026262581.1,0,4529770,NA,interg,NA
NW_026262581.1,0,4529779,NA,interg,NA
NW_026262581.1,0,4529809,NA,interg,NA
NW_026262581.1,0,4529818,NA,interg,NA
NW_026262581.1,0,4529848,NA,interg,NA
NW_026262581.1,0,4529857,NA,interg,NA
NW_026262581.1,0,4529887,NA,interg,NA
NW_026262581.1,0,4752370,LOC127739418,intron,suppressor of tumorigenicity 7 protein homolog
NW_026262581.1,0,4752395,LOC127739418,intron,suppressor of tumorigenicity 7 protein homolog
NW_026262581.1,0,4752400,LOC127739418,intron,suppressor of tumorigenicity 7 protein homolog
NW_026262581.1,0,4752409,LOC127739418,intron,suppressor of tumorigenicity 7 protein homolog
NW_026262581.1,0,4752412,LOC127739418,intron,suppressor of tumorigenicity 7 protein homolog
NW_026262581.1,0,4752432,LOC127739418,intron,suppressor of tumorigenicity 7 protein homolog
NW_026262581.1,0,4752438,LOC127739418,intron,suppressor of tumorigenicity 7 protein homolog
NW_026262581.1,0,4988837,LOC127739394,intron,bifunctional arginine demethylase and lysyl-hydroxylase psr-1-like
NW_026262581.1,0,4988884,LOC127739394,intron,bifunctional arginine demethylase and lysyl-hydroxylase psr-1-like
NW_026262581.1,0,4988949,LOC127739394,intron,bifunctional arginine demethylase and lysyl-hydroxylase psr-1-like
NW_026262581.1,0,5052231,LOC127698408,exon,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052239,LOC127698408,exon,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052243,LOC127698408,exon,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052247,LOC127698408,exon,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052267,LOC127698408,exon,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052273,LOC127698408,exon,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052281,LOC127698408,exon,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052283,LOC127698408,exon,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052315,LOC127698408,exon,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052342,LOC127698408,promoter,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052345,LOC127698408,promoter,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052363,LOC127698408,promoter,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052366,LOC127698408,promoter,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5052377,LOC127698408,promoter,E3 ubiquitin-protein ligase RAD18-like
NW_026262581.1,0,5068328,NA,interg,NA
NW_026262581.1,0,5068337,NA,interg,NA
NW_026262581.1,0,5068344,NA,interg,NA
NW_026262581.1,0,5068347,NA,interg,NA
NW_026262581.1,0,5068358,NA,interg,NA
NW_026262581.1,0,5068369,NA,interg,NA
NW_026262581.1,0,5068378,NA,interg,NA
NW_026262581.1,0,5068389,NA,interg,NA
NW_026262581.1,0,5068400,NA,interg,NA
NW_026262581.1,0,5074488,NA,interg,NA
NW_026262581.1,0,5074510,NA,interg,NA
NW_026262581.1,0,5074523,NA,interg,NA
NW_026262581.1,0,5074530,NA,interg,NA
NW_026262581.1,0,5074593,NA,interg,NA
NW_026262581.1,0,5074613,NA,interg,NA
NW_026262581.1,0,5097783,NA,interg,NA
NW_026262581.1,0,5097801,NA,interg,NA
NW_026262581.1,0,5097840,NA,interg,NA
NW_026262581.1,0,5097852,NA,interg,NA
NW_026262581.1,0,5223294,NA,interg,NA
NW_026262581.1,0,5223340,NA,interg,NA
NW_026262581.1,0,5223349,NA,interg,NA
NW_026262581.1,0,5223351,NA,interg,NA
NW_026262581.1,0,5223381,NA,interg,NA
NW_026262581.1,0,5223406,NA,interg,NA
NW_026262581.1,0,5243318,LOC127698246,intron,protein SSUH2 homolog
NW_026262581.1,0,5243350,LOC127698246,intron,protein SSUH2 homolog
NW_026262581.1,0,5243354,LOC127698246,intron,protein SSUH2 homolog
NW_026262581.1,0,5243379,LOC127698246,intron,protein SSUH2 homolog
NW_026262581.1,0,5243385,LOC127698246,intron,protein SSUH2 homolog
NW_026262581.1,0,5243388,LOC127698246,intron,protein SSUH2 homolog
NW_026262581.1,0,5243410,LOC127698246,intron,protein SSUH2 homolog
NW_026262581.1,0,5447823,LOC127739460,intron,metalloendopeptidase OMA1%2C mitochondrial-like
NW_026262581.1,0,5447862,LOC127739460,intron,metalloendopeptidase OMA1%2C mitochondrial-like
NW_026262581.1,0,5447873,LOC127739460,intron,metalloendopeptidase OMA1%2C mitochondrial-like
NW_026262581.1,0,5447879,LOC127739460,intron,metalloendopeptidase OMA1%2C mitochondrial-like
NW_026262581.1,0,5447888,LOC127739460,intron,metalloendopeptidase OMA1%2C mitochondrial-like
NW_026262581.1,0,5447894,LOC127739460,intron,metalloendopeptidase OMA1%2C mitochondrial-like
NW_026262581.1,0,5447906,LOC127739460,intron,metalloendopeptidase OMA1%2C mitochondrial-like
NW_026262581.1,0,5620559,LOC127725588,intron,cholecystokinin receptor-like
NW_026262581.1,0,5620568,LOC127725588,intron,cholecystokinin receptor-like
NW_026262581.1,0,5620575,LOC127725588,intron,cholecystokinin receptor-like
NW_026262581.1,0,5620578,LOC127725588,intron,cholecystokinin receptor-like
NW_026262581.1,0,5620589,LOC127725588,intron,cholecystokinin receptor-like
NW_026262581.1,0,5620593,LOC127725588,intron,cholecystokinin receptor-like
NW_026262581.1,0,5620609,LOC127725588,intron,cholecystokinin receptor-like
NW_026262581.1,0,5620626,LOC127725588,intron,cholecystokinin receptor-like
NW_026262581.1,0,5620631,LOC127725588,intron,cholecystokinin receptor-like
NW_026262581.1,0,5659733,NA,interg,NA
NW_026262581.1,0,5659770,NA,interg,NA
NW_026262581.1,0,5659773,NA,interg,NA
NW_026262581.1,0,5659798,NA,interg,NA
NW_026262581.1,0,5699452,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699467,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699491,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699500,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699530,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699764,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699858,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699883,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699907,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699916,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699946,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699955,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699985,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5699994,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700033,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700122,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700199,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700214,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700238,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700247,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700277,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700286,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700316,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700325,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700355,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700364,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700394,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700433,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700442,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700456,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700524,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700550,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700618,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5700644,LOC127698383,intron,uncharacterized LOC127698383
NW_026262581.1,0,5737473,LOC127736479,exon,band 4.1-like protein 2
NW_026262581.1,0,5737553,LOC127736479,exon,band 4.1-like protein 2
NW_026262581.1,0,5737556,LOC127736479,exon,band 4.1-like protein 2
NW_026262581.1,0,5880063,LOC127738214,intron,uncharacterized LOC127738214
NW_026262581.1,0,5880083,LOC127738214,intron,uncharacterized LOC127738214
NW_026262581.1,0,5880123,LOC127738214,intron,uncharacterized LOC127738214
NW_026262581.1,0,5880155,LOC127738214,intron,uncharacterized LOC127738214
NW_026262581.1,0,5880158,LOC127738214,intron,uncharacterized LOC127738214
NW_026262581.1,0,5880433,LOC127738214,intron,uncharacterized LOC127738214
NW_026262581.1,0,5880436,LOC127738214,intron,uncharacterized LOC127738214
NW_026262581.1,0,5880473,LOC127738214,intron,uncharacterized LOC127738214
NW_026262581.1,0,6165037,LOC127737604,exon,phosphoglucomutase-1-like
NW_026262581.1,0,6165047,LOC127737604,exon,phosphoglucomutase-1-like
NW_026262581.1,0,6165054,LOC127737604,exon,phosphoglucomutase-1-like
NW_026262581.1,0,6165119,LOC127737604,exon,phosphoglucomutase-1-like
NW_026262581.1,0,6670891,NA,interg,NA
NW_026262581.1,0,6670909,NA,interg,NA
NW_026262581.1,0,6670923,NA,interg,NA
NW_026262581.1,0,6670929,NA,interg,NA
NW_026262581.1,0,6670943,NA,interg,NA
NW_026262581.1,0,6670961,NA,interg,NA
NW_026262581.1,0,6716338,LOC127699055,exon,uncharacterized LOC127699055
NW_026262581.1,0,6716342,LOC127699055,exon,uncharacterized LOC127699055
NW_026262581.1,0,6716347,LOC127699055,exon,uncharacterized LOC127699055
NW_026262581.1,0,6716354,LOC127699055,exon,uncharacterized LOC127699055
NW_026262581.1,0,6716429,LOC127699055,exon,uncharacterized LOC127699055
NW_026262581.1,0,6953513,NA,interg,NA
NW_026262581.1,0,6953574,NA,interg,NA
NW_026262581.1,0,6953599,NA,interg,NA
NW_026262581.1,0,7430460,NA,interg,NA
NW_026262581.1,0,7430486,NA,interg,NA
NW_026262581.1,0,7430489,NA,interg,NA
NW_026262581.1,0,7430496,NA,interg,NA
NW_026262581.1,0,7430514,NA,interg,NA
NW_026262581.1,0,7430531,NA,interg,NA
NW_026262581.1,0,7564573,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564594,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564615,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564632,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564635,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564647,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564667,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564675,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564684,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564695,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564746,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564750,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564774,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564791,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7564805,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7574021,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7574032,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7574061,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7574085,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7575388,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7575407,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7575421,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7577658,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7577719,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7577726,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7577734,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7577739,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7577758,LOC127699028,intron,GATA-type zinc finger protein 1-like
NW_026262581.1,0,7639094,LOC127698726,intron,tyrosine-protein kinase transmembrane receptor Ror-like
NW_026262581.1,0,7639118,LOC127698726,intron,tyrosine-protein kinase transmembrane receptor Ror-like
NW_026262581.1,0,8255825,LOC127698951,intron,protein SSUH2 homolog
NW_026262581.1,0,8255829,LOC127698951,intron,protein SSUH2 homolog
NW_026262581.1,0,8255833,LOC127698951,intron,protein SSUH2 homolog
NW_026262581.1,0,8255837,LOC127698951,intron,protein SSUH2 homolog
NW_026262581.1,0,8255845,LOC127698951,intron,protein SSUH2 homolog
NW_026262581.1,0,8255849,LOC127698951,intron,protein SSUH2 homolog
NW_026262581.1,0,8255853,LOC127698951,intron,protein SSUH2 homolog
NW_026262581.1,0,8255869,LOC127698951,intron,protein SSUH2 homolog
NW_026262581.1,0,8255895,LOC127698951,intron,protein SSUH2 homolog
NW_026262581.1,0,8255904,LOC127698951,intron,protein SSUH2 homolog
NW_026262581.1,0,8255949,LOC127698951,intron,protein SSUH2 homolog
NW_026262581.1,0,8261719,LOC127698951,exon,protein SSUH2 homolog
NW_026262581.1,0,8261766,LOC127698951,exon,protein SSUH2 homolog
NW_026262581.1,0,8261771,LOC127698951,exon,protein SSUH2 homolog
NW_026262581.1,0,8261782,LOC127698951,exon,protein SSUH2 homolog
NW_026262581.1,0,8261788,LOC127698951,exon,protein SSUH2 homolog
NW_026262581.1,0,8421068,LOC127698655,intron,uncharacterized LOC127698655
NW_026262581.1,0,8586415,LOC127698986,intron,transcription initiation factor IIE subunit beta-like
NW_026262581.1,1,8586463,LOC127698986,intron,transcription initiation factor IIE subunit beta-like
NW_026262581.1,0,8586536,LOC127698986,intron,transcription initiation factor IIE subunit beta-like
NW_026262581.1,0,8586549,LOC127698986,intron,transcription initiation factor IIE subunit beta-like
NW_026262581.1,0,8586554,LOC127698986,intron,transcription initiation factor IIE subunit beta-like
NW_026262581.1,0,8605011,LOC127698798,intron,uncharacterized LOC127698798
NW_026262581.1,0,8605036,LOC127698798,intron,uncharacterized LOC127698798
NW_026262581.1,0,8605039,LOC127698798,intron,uncharacterized LOC127698798
NW_026262581.1,0,8605097,LOC127698798,intron,uncharacterized LOC127698798
NW_026262581.1,0,8848192,LOC127699683,intron,midnolin homolog
NW_026262581.1,0,8848229,LOC127699683,intron,midnolin homolog
NW_026262581.1,0,8848235,LOC127699683,intron,midnolin homolog
NW_026262581.1,0,8848254,LOC127699683,intron,midnolin homolog
NW_026262581.1,0,8848273,LOC127699683,intron,midnolin homolog
NW_026262581.1,0,8848313,LOC127699683,intron,midnolin homolog
NW_026262581.1,0,8848325,LOC127699683,intron,midnolin homolog
NW_026262581.1,0,8848346,LOC127699683,intron,midnolin homolog
NW_026262581.1,0,8883662,NA,interg,NA
NW_026262581.1,0,8883675,NA,interg,NA
NW_026262581.1,0,8883743,NA,interg,NA
NW_026262581.1,0,8883756,NA,interg,NA
NW_026262581.1,0,8883765,NA,interg,NA
NW_026262581.1,0,8883802,NA,interg,NA
NW_026262581.1,0,9063082,LOC127699909,intron,myosin regulatory light polypeptide 9-like
NW_026262581.1,0,9063104,LOC127699909,intron,myosin regulatory light polypeptide 9-like
NW_026262581.1,0,9063112,LOC127699909,intron,myosin regulatory light polypeptide 9-like
NW_026262581.1,0,9063118,LOC127699909,intron,myosin regulatory light polypeptide 9-like
NW_026262581.1,0,9063134,LOC127699909,intron,myosin regulatory light polypeptide 9-like
NW_026262581.1,0,9063158,LOC127699909,intron,myosin regulatory light polypeptide 9-like
NW_026262581.1,0,9063174,LOC127699909,intron,myosin regulatory light polypeptide 9-like
NW_026262581.1,0,9063184,LOC127699909,intron,myosin regulatory light polypeptide 9-like
NW_026262581.1,0,9063188,LOC127699909,intron,myosin regulatory light polypeptide 9-like
NW_026262581.1,0,9063263,LOC127699909,intron,myosin regulatory light polypeptide 9-like
NW_026262581.1,0,9193835,LOC127699657,intron,phospholipid phosphatase-related protein type 5-like
NW_026262581.1,0,9193870,LOC127699657,intron,phospholipid phosphatase-related protein type 5-like
NW_026262581.1,0,9193881,LOC127699657,intron,phospholipid phosphatase-related protein type 5-like
NW_026262581.1,0,9193901,LOC127699657,intron,phospholipid phosphatase-related protein type 5-like
NW_026262581.1,0,9193907,LOC127699657,intron,phospholipid phosphatase-related protein type 5-like
NW_026262581.1,0,9193912,LOC127699657,intron,phospholipid phosphatase-related protein type 5-like
NW_026262581.1,0,9263785,LOC127699117,exon,uncharacterized LOC127699117
NW_026262581.1,0,9263810,LOC127699117,exon,uncharacterized LOC127699117
NW_026262581.1,0,9263823,LOC127699117,exon,uncharacterized LOC127699117
NW_026262581.1,0,9263848,LOC127699117,exon,uncharacterized LOC127699117
NW_026262581.1,0,9354767,NA,interg,NA
NW_026262581.1,0,9354802,NA,interg,NA
NW_026262581.1,0,9354819,NA,interg,NA
NW_026262581.1,0,9354822,NA,interg,NA
NW_026262581.1,0,9354839,NA,interg,NA
NW_026262581.1,0,9354850,NA,interg,NA
NW_026262581.1,0,9354860,NA,interg,NA
NW_026262581.1,0,9402376,NA,interg,NA
NW_026262581.1,0,9402422,NA,interg,NA
NW_026262581.1,0,9402427,NA,interg,NA
NW_026262581.1,0,9402439,NA,interg,NA
NW_026262581.1,0,9402445,NA,interg,NA
NW_026262581.1,0,9477876,LOC127699252,promoter,AP-4 complex subunit epsilon-1-like
NW_026262581.1,0,9477893,LOC127699252,promoter,AP-4 complex subunit epsilon-1-like
NW_026262581.1,0,9477953,LOC127699252,promoter,AP-4 complex subunit epsilon-1-like
NW_026262581.1,0,9477978,LOC127699252,promoter,AP-4 complex subunit epsilon-1-like
NW_026262581.1,0,9665551,LOC127699297,intron,uncharacterized LOC127699297
NW_026262581.1,0,9665603,LOC127699297,intron,uncharacterized LOC127699297
NW_026262581.1,0,9665689,LOC127699297,intron,uncharacterized LOC127699297
NW_026262581.1,0,9665734,LOC127699297,intron,uncharacterized LOC127699297
